IIT_NE_ID,IIT_INV_TYPE,IIT_PRIMARY_KEY,IIT_ADMIN_UNIT,BBQ_ASSET_ID,BBQ_PARENT_ID,BBQ_X_POS,BBQ_Y_POS,BBQ_TYPE,BBQ_HOTPLATE,LU_NUMBER,RU_NUMBER,CONTRACT_UNIT,UOS_LOCATION,BBQ_TAP_AT_BBQ,BBQ_BENCH_TYPE,BBQ_WIRED_DOOR,BBQ_CLIMB_ACCESS,BBQ_HOTPLATE_MATERIAL
"2,524,163",BBQ,BBQ12,18,BBQ12,UOS13900,"210,732","605,153",ELECTRIC,DOUBLE,48,49,TURNER,HAIG PARK,Y,STEEL,NO,TAP,
"2,524,164",BBQ,BBQ13,18,BBQ13,UOS13900,"210,558","605,236",ELECTRIC,DOUBLE,88,89,TURNER,HAIG PARK,Y,TILE,YES,TAP,
"2,524,165",BBQ,BBQ14,18,BBQ14,UOS13890,"211,999","605,224",ELECTRIC,DOUBLE,40,41,AINSLIE,CORROBOREE PARK,N,STEEL,NO,NONE,
"2,524,166",BBQ,BBQ15,18,BBQ15,UOS14422,"211,453","603,615",ELECTRIC,DOUBLE,80,81,CITY,GLEBE PARK,Y,STEEL,NO,TAP,
"2,524,167",BBQ,BBQ16,18,BBQ16,UOS14422,"211,477","603,741",ELECTRIC,DOUBLE,38,39,CITY,GLEBE PARK,Y,STEEL,NO,TAP,
"2,524,168",BBQ,BBQ17,18,BBQ17,UOS14422,"211,449","603,797",ELECTRIC,DOUBLE,36,37,CITY,GLEBE PARK,Y,STEEL,NO,TAP,
"2,524,171",BBQ,BBQ20,18,BBQ20,UOS14373,"214,268","601,274",ELECTRIC,DOUBLE,0,0,CAMPBELL,MOLONGLO REACH DISTRICT PARK,N,STEEL,NO,TAP,
"2,524,172",BBQ,BBQ21,18,BBQ21,UOS14152,"208,273","603,213",ELECTRIC,DOUBLE,67,66,ACTON,BLACK MOUNTAIN PENINSULA DISTRICT PARK,N,STEEL,YES,TAP,
"2,524,173",BBQ,BBQ22,18,BBQ22,UOS14152,"208,104","602,651",ELECTRIC,DOUBLE,69,68,ACTON,BLACK MOUNTAIN PENINSULA DISTRICT PARK,Y,STEEL,YES,NONE,
"2,524,174",BBQ,BBQ23,18,BBQ23,UOS14152,"208,154","602,723",ELECTRIC,DOUBLE,70,71,ACTON,BLACK MOUNTAIN PENINSULA DISTRICT PARK,N,STEEL,YES,TAP,
"2,524,175",BBQ,BBQ24,18,BBQ24,UOS14152,"208,230","602,658",ELECTRIC,DOUBLE,72,73,ACTON,BLACK MOUNTAIN PENINSULA DISTRICT PARK,Y,STEEL,NO,TAP,
"2,524,176",BBQ,BBQ25,18,BBQ25,UOS14186,"210,391","603,308",ELECTRIC,DOUBLE,62,63,ACTON,ACTON PARK DISTRICT PARK,Y,CONCRETE,YES,NONE,
"2,524,177",BBQ,BBQ26,18,BBQ26,UOS14186,"210,362","603,318",ELECTRIC,DOUBLE,65,64,ACTON,ACTON PARK DISTRICT PARK,Y,CONCRETE,YES,NONE,
"2,524,178",BBQ,BBQ27,18,BBQ27,UOS3595,"205,800","609,667",ELECTRIC,DOUBLE,11,12,BELCONNEN,GINNINDERRA PENINSULA DISTRICT PARK,Y,STEEL,YES,TAP,
"2,524,179",BBQ,BBQ28,18,BBQ28,UOS3499,"205,783","609,656",ELECTRIC,DOUBLE,9,10,BELCONNEN,DIDDAMS CLOSE PEDESTRIAN PARKLAND,Y,STEEL,YES,TAP,
"2,524,180",BBQ,BBQ29,18,BBQ29,UOS3562,"204,755","609,794",ELECTRIC,DOUBLE,25,26,BELCONNEN,JOYNTON SMITH DRIVE PEDESTRIAN PARKLAND,Y,STEEL,YES,TAP,
"2,524,181",BBQ,BBQ30,18,BBQ30,UOS3307,"204,820","609,842",ELECTRIC,DOUBLE,23,24,BELCONNEN,LAKE GINNINDERRA WESTERN FORESHORES,Y,CONCRETE,YES,TAP,CAST IRON
"2,524,182",BBQ,BBQ31,18,BBQ31,UOS3307,"204,814","609,862",ELECTRIC,DOUBLE,17,18,BELCONNEN,LAKE GINNINDERRA WESTERN FORESHORES,Y,CONCRETE,YES,TAP,
"2,524,183",BBQ,BBQ32,18,BBQ32,UOS3307,"204,797","609,867",ELECTRIC,DOUBLE,15,16,BELCONNEN,LAKE GINNINDERRA WESTERN FORESHORES,Y,CONCRETE,YES,NONE,DUAL
"2,524,184",BBQ,BBQ33,18,BBQ33,UOS3307,"204,801","610,011",ELECTRIC,DOUBLE,19,20,BELCONNEN,LAKE GINNINDERRA WESTERN FORESHORES,Y,CONCRETE,YES,TAP,
"2,524,185",BBQ,BBQ34,18,BBQ34,UOS3307,"204,764","610,148",ELECTRIC,DOUBLE,21,22,BELCONNEN,LAKE GINNINDERRA WESTERN FORESHORES,Y,CONCRETE,YES,TAP,CAST IRON
"2,524,186",BBQ,BBQ35,18,BBQ35,UOS3819,"204,532","609,292",ELECTRIC,DOUBLE,94,95,BELCONNEN,TOTTERDELL STREET PEDESTRIAN PARKLAND,Y,,,,
"2,524,187",BBQ,BBQ36,18,BBQ36,UOS3595,"205,381","610,034",ELECTRIC,DOUBLE,13,14,BELCONNEN,GINNINDERRA PENINSULA DISTRICT PARK,Y,CONCRETE,YES,TAP,
"2,524,188",BBQ,BBQ37,18,BBQ37,UOS3595,"205,364","610,025",ELECTRIC,DOUBLE,7,8,BELCONNEN,GINNINDERRA PENINSULA DISTRICT PARK,Y,CONCRETE,NO,TAP,
"2,524,189",BBQ,BBQ38,18,BBQ38,UOS3967,"205,724","609,072",ELECTRIC,DOUBLE,33,32,BELCONNEN,JOHN KNIGHT MEMORIAL PARK,Y,STEEL,YES,TAP,
"2,524,190",BBQ,BBQ39,18,BBQ39,UOS3967,"205,723","609,033",ELECTRIC,DOUBLE,31,30,BELCONNEN,JOHN KNIGHT MEMORIAL PARK,Y,STEEL,YES,TAP,
"2,524,191",BBQ,BBQ40,18,BBQ40,UOS2854,"205,154","610,886",ELECTRIC,DOUBLE,5,6,EVATT,CARLILE STREET PEDESTRIAN PARKLAND,N,,,,
"2,524,192",BBQ,BBQ41,18,BBQ41,UOS3337,"204,227","610,273",ELECTRIC,DOUBLE,34,35,FLOREY,TATTERSALL CRESCENT NEIGHBOURHOOD PARK,Y,,,,
"2,524,193",BBQ,BBQ42,18,BBQ42,UOS1368,"205,393","615,982",WOOD,DOUBLE,0,0,HALL,HALL PARK,Y,,,,
"2,524,194",BBQ,BBQ43,18,BBQ43,UOS1368,"205,401","616,019",WOOD,DOUBLE,0,0,HALL,HALL PARK,Y,,,,
"2,524,195",BBQ,BBQ44,18,BBQ44,UOS2447,"201,875","611,597",ELECTRIC,DOUBLE,74,75,LATHAM,UMBAGONG DISTRICT PARK,N,CONCRETE,YES,NONE,ALUMINIUM
"2,524,196",BBQ,BBQ45,18,BBQ45,UOS2447,"201,671","611,142",ELECTRIC,DOUBLE,92,93,LATHAM,UMBAGONG DISTRICT PARK,N,CONCRETE,YES,NONE,ALUMINIUM
"2,524,197",BBQ,BBQ46,18,BBQ46,UOS2447,"201,683","611,115",ELECTRIC,DOUBLE,90,91,LATHAM,UMBAGONG DISTRICT PARK,N,CONCRETE,YES,TAP,ALUMINIUM
"2,524,198",BBQ,BBQ47,18,BBQ47,UOS2045,"200,328","612,001",ELECTRIC,DOUBLE,1,2,MACGREGOR,MARKS PLACE PEDESTRIAN PARKLAND,Y,CONCRETE,YES,TAP,ALUMINIUM
"2,524,199",BBQ,BBQ48,18,BBQ48,UOS2541,"200,391","611,413",ELECTRIC,DOUBLE,3,4,MACGREGOR,HARPER STREET PEDESTRIAN PARKLAND,Y,CONCRETE,YES,NONE,ALUMINIUM
"2,524,200",BBQ,BBQ49,18,BBQ49,UOS1919,"206,851","611,553",ELECTRIC,DOUBLE,78,79,MCKELLAR,PALMERVILLE HERITAGE PARK,Y,CONCRETE,YES,TAP,ALUMINIUM
"2,524,201",BBQ,BBQ50,18,BBQ50,UOS1919,"206,835","611,582",ELECTRIC,DOUBLE,76,77,MCKELLAR,PALMERVILLE HERITAGE PARK,N,CONCRETE,YES,NONE,ALUMINIUM
"2,524,204",BBQ,BBQ53,18,BBQ53,UOS320,"210,944","615,171",ELECTRIC,SINGLE,,,GUNGAHLIN,YERRABI DISTRICT PARK,N,STEEL,YES,TAP_WALL,
"2,524,205",BBQ,BBQ54,18,BBQ54,UOS320,"210,966","615,184",ELECTRIC,SINGLE,,,GUNGAHLIN,YERRABI DISTRICT PARK,N,STEEL,YES,TAP_WALL,
"2,524,206",BBQ,BBQ55,18,BBQ55,UOS320,"210,962","615,191",ELECTRIC,SINGLE,,,GUNGAHLIN,YERRABI DISTRICT PARK,Y,STEEL,YES,TAP_WALL,
"2,524,207",BBQ,BBQ56,18,BBQ56,UOS320,"210,941","615,174",ELECTRIC,SINGLE,,,GUNGAHLIN,YERRABI DISTRICT PARK,Y,STEEL,YES,TAP_WALL,
"2,524,208",BBQ,BBQ57,18,BBQ57,UOS1139,"211,990","610,893",GAS,DOUBLE,96,97,MITCHELL,BAILLIEU LANE PEDESTRIAN PARKLAND,Y,,,,
"2,524,209",BBQ,BBQ58,18,BBQ58,UOS11080,"206,670","588,647",ELECTRIC,DOUBLE,281,282,MONASH,GRIFFIN PLACE - PEDESTRIAN PARKLAND,Y,,,,
"2,524,210",BBQ,BBQ59,18,BBQ59,UOS10354,"206,203","589,967",ELECTRIC,DOUBLE,256,257,OXLEY,NEWMAN-MORRIS CIRCUIT - NEIGHBOURHOOD PARK,Y,,,,
"2,524,211",BBQ,BBQ60,18,BBQ60,UOS9285,"204,546","591,957",ELECTRIC,DOUBLE,248,249,KAMBAH,KAMBAH DISTRICT PARK,N,CONCRETE,YES,TAP,
"2,524,212",BBQ,BBQ61,18,BBQ61,UOS9285,"204,536","591,964",ELECTRIC,DOUBLE,250,251,KAMBAH,KAMBAH DISTRICT PARK,N,CONCRETE,YES,NONE,
"2,524,213",BBQ,BBQ62,18,BBQ62,UOS9285,"204,692","591,601",ELECTRIC,DOUBLE,242,243,KAMBAH,KAMBAH DISTRICT PARK,N,STEEL,YES,BOX,
"2,524,214",BBQ,BBQ63,18,BBQ63,UOS9285,"204,687","591,579",ELECTRIC,DOUBLE,244,245,KAMBAH,KAMBAH DISTRICT PARK,N,STEEL,YES,NONE,
"2,524,215",BBQ,BBQ64,18,BBQ64,UOS9285,"204,681","591,566",ELECTRIC,DOUBLE,246,247,KAMBAH,KAMBAH DISTRICT PARK,Y,STEEL,YES,TAP,
"2,524,216",BBQ,BBQ65,18,BBQ65,UOS10549,"204,926","589,504",ELECTRIC,DOUBLE,279,280,GREENWAY,TUGGERANONG TOWN PARK,Y,STEEL,YES,TAP_WALL,
"2,524,217",BBQ,BBQ66,18,BBQ66,UOS12355,"206,736","584,479",ELECTRIC,DOUBLE,0,0,GORDON,POINT HUT DISTRICT PARK,N,,,,
"2,524,218",BBQ,BBQ67,18,BBQ67,UOS5818,"215,109","598,809",ELECTRIC,SINGLE,260,0,FYSHWICK,MARYBOROUGH STREET - PEDESTRIAN PARKLAND,Y,,,,
"2,524,219",BBQ,BBQ68,18,BBQ68,UOS5818,"215,102","598,805",ELECTRIC,DOUBLE,258,259,FYSHWICK,MARYBOROUGH STREET - PEDESTRIAN PARKLAND,Y,,,,
"2,524,220",BBQ,BBQ69,18,BBQ69,UOS5560,"209,237","599,768",GAS,DOUBLE,221,222,DEAKIN,BEDFORD STREET - NEIGHBOURHOOD PARK,Y,CONCRETE,YES,WALL,CAST IRON
"2,524,221",BBQ,BBQ70,18,BBQ70,UOS5373,"211,531","600,053",ELECTRIC,DOUBLE,223,224,BARTON,TELOPEA PARK,N,STEEL,YES,NONE,
"2,524,222",BBQ,BBQ71,18,BBQ71,UOS5373,"211,522","600,062",ELECTRIC,DOUBLE,225,226,BARTON,TELOPEA PARK,Y,STEEL,YES,TAP,
"2,524,224",BBQ,BBQ73,18,BBQ73,UOS5373,"211,576","600,137",ELECTRIC,DOUBLE,229,230,BARTON,TELOPEA PARK,Y,STEEL,YES,TAP,
"2,524,225",BBQ,BBQ74,18,BBQ74,UOS5373,"211,791","600,554",GAS,DOUBLE,231,232,BARTON,TELOPEA PARK,Y,CONCRETE,YES,WALL,
"2,524,226",BBQ,BBQ75,18,BBQ75,UOS5132,"208,984","602,027",GAS,DOUBLE,205,206,YARRALUMLA,ALEXANDRINA DRIVE - PEDESTRIAN PARKLAND,Y,STEEL,NO,LOCK,
"2,524,227",BBQ,BBQ76,18,BBQ76,UOS5132,"209,106","601,930",GAS,DOUBLE,207,208,YARRALUMLA,ALEXANDRINA DRIVE - PEDESTRIAN PARKLAND,Y,STEEL,NO,LOCK,
"2,524,228",BBQ,BBQ77,18,BBQ77,UOS5115,"210,059","601,905",ELECTRIC,DOUBLE,203,204,YARRALUMLA,LENNOX GARDENS,N,CONCRETE,NO,LOCK,
"2,524,229",BBQ,BBQ78,18,BBQ78,UOS5115,"210,092","601,895",ELECTRIC,DOUBLE,283,284,YARRALUMLA,LENNOX GARDENS,N,CONCRETE,NO,NONE,
"2,524,230",BBQ,BBQ79,18,BBQ79,UOS5115,"210,125","601,958",ELECTRIC,DOUBLE,281,282,YARRALUMLA,LENNOX GARDENS,Y,STEEL,YES,TAP,
"2,524,231",BBQ,BBQ80,18,BBQ80,UOS5091,"207,700","602,266",GAS,DOUBLE,213,214,YARRALUMLA,WESTON PARK,Y,CONCRETE,YES,WALL,
"2,524,232",BBQ,BBQ81,18,BBQ81,UOS5091,"207,540","602,488",GAS,DOUBLE,219,220,YARRALUMLA,WESTON PARK,Y,CONCRETE,YES,TAP_WALL,DUAL
"2,524,233",BBQ,BBQ82,18,BBQ82,UOS5091,"207,249","602,748",ELECTRIC,DOUBLE,277,278,YARRALUMLA,WESTON PARK,Y,CONCRETE,NO,TAP,
"2,524,234",BBQ,BBQ83,18,BBQ83,UOS5091,"207,523","602,621",ELECTRIC,DOUBLE,217,218,YARRALUMLA,WESTON PARK,Y,STEEL,YES,WALL,ALUMINIUM
"2,524,235",BBQ,BBQ84,18,BBQ84,UOS5091,"207,339","602,808",ELECTRIC,DOUBLE,211,212,YARRALUMLA,WESTON PARK,Y,CONCRETE,YES,TAP_WALL,
"2,524,236",BBQ,BBQ85,18,BBQ85,UOS5091,"207,428","602,870",GAS,DOUBLE,210,209,YARRALUMLA,WESTON PARK,Y,STEEL,YES,TAP,
"2,524,237",BBQ,BBQ86,18,BBQ86,UOS5091,"207,730","602,901",GAS,DOUBLE,215,216,YARRALUMLA,WESTON PARK,Y,,,,
"2,524,239",BBQ,BBQ88,18,BBQ88,UOS13046,"210,334","608,371",ELECTRIC,DOUBLE,50,51,LYNEHAM,ELLENBOROUGH STREET - PEDESTRIAN PARKLAND,Y,CONCRETE,YES,TAP,
"2,524,240",BBQ,BBQ89,18,BBQ89,UOS3967,"205,803","608,686",ELECTRIC,DOUBLE,27,28,BELCONNEN,JOHN KNIGHT MEMORIAL PARK,Y,CONCRETE,YES,TAP_WALL,
"2,524,241",BBQ,BBQ90,18,BBQ90,UOS3967,"205,799","608,688",ELECTRIC,SINGLE,29,0,BELCONNEN,JOHN KNIGHT MEMORIAL PARK,Y,CONCRETE,YES,WALL,
"2,524,243",BBQ,BBQ92,18,BBQ92,UOS1350,"204,793","617,171",WOOD,DOUBLE,0,0,HALL,VICTORIA STREET ROAD VERGE,N,,,,
"2,524,245",BBQ,BBQ94,18,BBQ94,UOS10540,"209,968","589,400",ELECTRIC,DOUBLE,287,288,FADDEN,FADDEN PINES DISTRICT PARK,Y,CONCRETE,YES,TAP,ALUMINIUM
"2,524,246",BBQ,BBQ95,18,BBQ95,UOS10540,"209,949","589,538",ELECTRIC,DOUBLE,271,272,FADDEN,FADDEN PINES DISTRICT PARK,N,CONCRETE,NO,TAP,
"2,524,247",BBQ,BBQ96,18,BBQ96,UOS10540,"209,889","589,483",ELECTRIC,DOUBLE,269,270,FADDEN,FADDEN PINES DISTRICT PARK,N,CONCRETE,YES,TAP,
"2,524,249",BBQ,BBQ98,18,BBQ98,UOS10540,"210,045","589,441",ELECTRIC,DOUBLE,285,286,FADDEN,FADDEN PINES DISTRICT PARK,Y,CONCRETE,YES,TAP,ALUMINIUM
"2,524,250",BBQ,BBQ99,18,BBQ99,UOS910,"209,063","613,727",ELECTRIC,DOUBLE,,,NICHOLLS,CANDLEBARK CLOSE NEIGHBOURHOOD PARK,N,,,,
"2,524,251",BBQ,BBQ100,18,BBQ100,UOS910,"209,075","613,769",ELECTRIC,DOUBLE,,,NICHOLLS,CANDLEBARK CLOSE NEIGHBOURHOOD PARK,N,,,,
"2,524,252",BBQ,BBQ101,18,BBQ101,UOS10549,"204,959","589,599",ELECTRIC,DOUBLE,,,GREENWAY,TUGGERANONG TOWN PARK,,STEEL,YES,TAP,
"2,524,253",BBQ,BBQ102,18,BBQ102,UOS9817,"205,386","589,762",ELECTRIC,DOUBLE,,,GREENWAY,LAKE TUGGERANONG DISTRICT PARK,Y,,,,
"2,524,254",BBQ,BBQ103,18,BBQ103,UOS9817,"205,457","589,897",ELECTRIC,DOUBLE,,,GREENWAY,LAKE TUGGERANONG DISTRICT PARK,Y,,,,
"2,524,255",BBQ,BBQ104,18,BBQ104,UOS9817,"205,542","590,123",ELECTRIC,DOUBLE,,,GREENWAY,LAKE TUGGERANONG DISTRICT PARK,Y,,,,
"5,706,719",BBQ,BBQ124,18,BBQ124,UOS17952,,,ELECTRIC,DOUBLE,98,99,PALMERSTON,BUNYA CLOSE PEDESTRIAN PARKLAND,Y,,,,
